#,Company,Symbol,Weight,Price,Chg,% Chg,Symbol_modified
88,TJX Companies Inc,TJX,0.262762,76.11,-0.10,(-0.14%),TJX
89,Citigroup Inc.,C,0.260419,45.67,0.45,(0.98%),C
90,T-Mobile US Inc.,TMUS,0.25634,144.96,2.17,(1.52%),TMUS
91,Charles Schwab Corp,SCHW,0.251666,53.82,-0.03,(-0.06%),SCHW
92,PayPal Holdings Inc.,PYPL,0.249414,73.52,0.82,(1.12%),PYPL
93,Progressive Corporation,PGR,0.247929,143.20,0.35,(0.24%),PGR
94,Marsh & McLennan Companies Inc.,MMC,0.240289,175.40,13.10,(8.07%),MMC
95,Altria Group Inc.,MO,0.238662,44.57,0.21,(0.47%),MO
96,Vertex Pharmaceuticals Incorporated,VRTX,0.238507,304.59,-8.67,(-2.77%),VRTX
97,Chubb Limited,CB,0.235427,200.25,10.69,(5.64%),CB
98,Cigna Group,CI,0.23515,259.53,3.03,(1.18%),CI
99,Zoetis Inc. Class A,ZTS,0.231897,167.12,2.08,(1.26%),ZTS
100,Southern Company,SO,0.223067,69.00,0.61,(0.89%),SO
101,Target Corporation,TGT,0.220256,162.13,2.36,(1.48%),TGT
102,Duke Energy Corporation,DUK,0.218958,93.79,-0.96,(-1.02%),DUK
103,Fiserv Inc.,FISV,0.213095,114.08,2.80,(2.52%),FISV
104,Boston Scientific Corporation,BSX,0.207859,49.12,0.52,(1.08%),BSX
105,Becton Dickinson and Company,BDX,0.206637,241.30,0.07,(0.03%),BDX
106,Lam Research Corporation,LRCX,0.201187,512.50,27.42,(5.65%),LRCX
107,CME Group Inc. Class A,CME,0.19985,192.47,5.15,(2.75%),CME
108,Schlumberger N.V.,SLB,0.199766,48.25,0.61,(1.28%),SLB
109,Northrop Grumman Corp.,NOC,0.199208,465.46,6.46,(1.41%),NOC
110,Micron Technology Inc.,MU,0.196216,60.71,1.43,(2.40%),MU
111,Eaton Corp. Plc,ETN,0.196017,164.98,-0.61,(-0.37%),ETN
112,Illinois Tool Works Inc.,ITW,0.195247,229.71,-4.40,(-1.88%),ITW
113,Aon Plc Class A,AON,0.192019,309.68,0.68,(0.22%),AON
114,EOG Resources Inc.,EOG,0.191136,115.23,4.82,(4.37%),EOG
115,Equinix Inc.,EQIX,0.191063,680.10,-2.95,(-0.43%),EQIX
116,Humana Inc.,HUM,0.190549,481.83,-1.58,(-0.33%),HUM
117,Colgate-Palmolive Company,CL,0.186261,74.66,0.16,(0.21%),CL
118,CSX Corporation,CSX,0.181496,29.05,-0.06,(-0.20%),CSX
119,Activision Blizzard Inc.,ATVI,0.180627,84.64,0.29,(0.34%),ATVI
120,Air Products and Chemicals Inc.,APD,0.179946,273.70,0.16,(0.06%),APD
121,Marathon Petroleum Corporation,MPC,0.176018,152.10,20.53,(15.60%),MPC
122,Waste Management Inc.,WM,0.172233,155.76,0.94,(0.61%),WM
123,Synopsys Inc.,SNPS,0.171406,383.78,13.91,(3.76%),SNPS
124,Cadence Design Systems Inc.,CDNS,0.169348,200.04,-3.25,(-1.60%),CDNS
